Page,2015-07-01,2015-07-02,2015-07-03,2015-07-04,2015-07-05,2015-07-06,2015-07-07,2015-07-08,2015-07-09,2015-07-10,2015-07-11,2015-07-12,2015-07-13,2015-07-14,2015-07-15,2015-07-16,2015-07-17,2015-07-18,2015-07-19,2015-07-20,2015-07-21,2015-07-22,2015-07-23,2015-07-24,2015-07-25,2015-07-26,2015-07-27,2015-07-28,2015-07-29,2015-07-30,2015-07-31,2015-08-01,2015-08-02,2015-08-03,2015-08-04,2015-08-05,2015-08-06,2015-08-07,2015-08-08,2015-08-09,2015-08-10,2015-08-11,2015-08-12,2015-08-13,2015-08-14,2015-08-15,2015-08-16,2015-08-17,2015-08-18,2015-08-19,2015-08-20,2015-08-21,2015-08-22,2015-08-23,2015-08-24,2015-08-25,2015-08-26,2015-08-27,2015-08-28,2015-08-29,2015-08-30,2015-08-31,2015-09-01,2015-09-02,2015-09-03,2015-09-04,2015-09-05,2015-09-06,2015-09-07,2015-09-08,2015-09-09,2015-09-10,2015-09-11,2015-09-12,2015-09-13,2015-09-14,2015-09-15,2015-09-16,2015-09-17,2015-09-18,2015-09-19,2015-09-20,2015-09-21,2015-09-22,2015-09-23,2015-09-24,2015-09-25,2015-09-26,2015-09-27,2015-09-28,2015-09-29,2015-09-30,2015-10-01,2015-10-02,2015-10-03,2015-10-04,2015-10-05,2015-10-06,2015-10-07,2015-10-08,2015-10-09,2015-10-10,2015-10-11,2015-10-12,2015-10-13,2015-10-14,2015-10-15,2015-10-16,2015-10-17,2015-10-18,2015-10-19,2015-10-20,2015-10-21,2015-10-22,2015-10-23,2015-10-24,2015-10-25,2015-10-26,2015-10-27,2015-10-28,2015-10-29,2015-10-30,2015-10-31,2015-11-01,2015-11-02,2015-11-03,2015-11-04,2015-11-05,2015-11-06,2015-11-07,2015-11-08,2015-11-09,2015-11-10,2015-11-11,2015-11-12,2015-11-13,2015-11-14,2015-11-15,2015-11-16,2015-11-17,2015-11-18,2015-11-19,2015-11-20,2015-11-21,2015-11-22,2015-11-23,2015-11-24,2015-11-25,2015-11-26,2015-11-27,2015-11-28,2015-11-29,2015-11-30,2015-12-01,2015-12-02,2015-12-03,2015-12-04,2015-12-05,2015-12-06,2015-12-07,2015-12-08,2015-12-09,2015-12-10,2015-12-11,2015-12-12,2015-12-13,2015-12-14,2015-12-15,2015-12-16,2015-12-17,2015-12-18,2015-12-19,2015-12-20,2015-12-21,2015-12-22,2015-12-23,2015-12-24,2015-12-25,2015-12-26,2015-12-27,2015-12-28,2015-12-29,2015-12-30,2015-12-31,2016-01-01,2016-01-02,2016-01-03,2016-01-04,2016-01-05,2016-01-06,2016-01-07,2016-01-08,2016-01-09,2016-01-10,2016-01-11,2016-01-12,2016-01-13,2016-01-14,2016-01-15,2016-01-16,2016-01-17,2016-01-18,2016-01-19,2016-01-20,2016-01-21,2016-01-22,2016-01-23,2016-01-24,2016-01-25,2016-01-26,2016-01-27,2016-01-28,2016-01-29,2016-01-30,2016-01-31,2016-02-01,2016-02-02,2016-02-03,2016-02-04,2016-02-05,2016-02-06,2016-02-07,2016-02-08,2016-02-09,2016-02-10,2016-02-11,2016-02-12,2016-02-13,2016-02-14,2016-02-15,2016-02-16,2016-02-17,2016-02-18,2016-02-19,2016-02-20,2016-02-21,2016-02-22,2016-02-23,2016-02-24,2016-02-25,2016-02-26,2016-02-27,2016-02-28,2016-02-29,2016-03-01,2016-03-02,2016-03-03,2016-03-04,2016-03-05,2016-03-06,2016-03-07,2016-03-08,2016-03-09,2016-03-10
臺南市_zh.wikipedia.org_all-access_spider,26,22,21,20,52,14,21,18,21,22,35,11,21,9,14,22,5,5,33,17,10,14,10,5,7,8,7,13,20,13,11,13,8,13,11,11,13,9,18,9,35,6,7,11,9,9,17,8,11,15,7,6,17,9,10,8,16,7,10,9,22,3,7,9,10,11,9,13,17,53,21,19,7,5,9,18,21,3,11,14,81,36,18,14,12,17,18,24,17,13,8,17,52,11,16,11,5,12,11,9,16,34,10,10,7,13,21,30,62,23,24,10,12,18,86,15,11,16,17,84,29,13,9,21,12,8,56,9,28,26,15,16,32,21,11,14,16,22,18,19,17,35,28,11,13,130,38,15,45,11,8,11,10,20,10,31,18,9,24,8,17,15,16,13,19,15,26,9,12,26,13,21,29,27,12,23,13,28,76,27,23,13,20,57,15,125,10,20,35,22,23,55,21,24,59,19,22,21,85,15,53,22,22,23,33,21,30,45,22,29,50,23,12,29,23,18,18,60,17,15,48,30,18,16,11,18,38,29,26,20,23,26,23,18,40,27,13,19,18,14,15,28,29,137,24,26,35,141,23,21,27,52,18,10
徐自強案_zh.wikipedia.org_all-access_spider,1,0,6,9,2,3,0,9,7,5,7,4,7,9,5,1,1,3,5,5,6,6,7,3,5,4,0,3,6,4,1,2,2,8,3,2,2,6,5,3,2,2,2,2,1,1,1,7,1,3,4,5,2,3,3,4,2,4,2,2,3,5,235,42,5,14,6,4,5,4,4,16,4,2,1,7,3,5,1,7,7,7,5,5,8,7,6,8,2,1,5,41,4,12,4,6,1,7,0,6,2,4,3,5,5,3,0,7,4,2,2,6,8,3,10,4,3,8,3,2,6,3,9,5,2,8,6,5,4,14,4,4,9,5,6,5,4,5,2,4,9,3,9,4,8,6,7,4,6,11,4,10,4,4,1,6,7,9,3,0,4,5,4,3,4,8,2,4,8,4,3,7,2,2,8,4,5,7,4,2,5,2,6,6,3,4,2,6,4,7,4,6,2,4,5,6,11,6,7,8,4,1,8,3,36,9,4,8,5,8,3,12,9,5,5,10,4,2,11,5,7,5,4,5,4,5,5,2,3,2,1,4,3,10,8,15,9,0,6,4,6,4,13,7,4,9,4,8,10,5,7,3,4,3
方皓玟_zh.wikipedia.org_all-access_spider,71,8,4,5,4,8,8,12,59,24,4,4,7,11,16,9,5,14,16,34,6,22,14,2,3,9,4,6,19,6,5,3,1,4,6,6,6,4,2,6,9,2,2,1,3,3,9,9,5,3,3,9,8,3,4,5,6,2,5,5,2,11,8,11,4,6,6,0,2,2,2,8,1,10,0,29,18,8,2,4,7,2,4,8,7,8,2,5,7,4,3,22,4,7,5,11,76,3,2,26,30,28,3,13,16,25,7,5,12,4,8,4,1,4,3,19,3,5,8,2,6,6,14,4,2,8,8,1,2,8,7,4,17,2,6,6,7,5,5,3,4,11,10,6,5,10,7,8,4,5,11,7,6,7,3,5,7,26,6,4,16,5,9,7,35,16,50,41,18,7,7,24,2,3,9,10,7,23,19,64,8,5,8,9,33,27,10,8,9,8,10,33,91,12,30,9,18,30,21,21,7,13,21,16,17,22,29,12,11,15,19,26,12,19,38,17,51,24,13,25,21,10,3,37,14,15,11,25,10,11,12,9,10,13,8,3,8,7,9,4,6,22,22,9,7,8,19,5,22,26,34,25,8,8
Mnet亞洲音樂大獎_zh.wikipedia.org_all-access_spider,19,4,6,8,10,14,22,14,3,9,15,18,4,14,10,6,5,15,30,6,3,13,10,4,17,4,3,25,5,4,3,3,13,5,2,7,27,17,1,3,6,3,9,4,6,1,3,2,2,5,1,5,5,6,0,5,4,3,7,11,4,3,3,7,5,6,0,4,2,7,10,1,4,8,3,5,13,5,5,8,18,7,5,27,9,4,11,10,5,2,8,7,5,10,4,12,5,77,7,6,10,4,2,5,7,15,10,6,8,7,7,5,8,3,6,4,4,16,6,23,8,32,9,16,3,9,5,8,1,12,18,2,4,1,40,13,6,15,9,11,17,20,20,4,8,7,33,5,20,9,3,9,17,20,829,107,108,38,29,5,6,8,17,13,17,16,5,15,8,10,10,14,14,9,13,9,11,6,9,6,7,80,10,14,13,7,14,15,9,13,5,35,21,24,20,15,11,27,8,10,16,6,13,20,13,22,12,11,8,8,10,50,11,6,11,6,8,11,8,8,7,13,4,8,13,6,11,3,4,5,3,11,10,16,7,12,12,13,15,12,9,13,12,15,6,17,13,12,11,14,11,12,6,6
陳楚河_zh.wikipedia.org_all-access_spider,29,12,6,7,4,5,15,8,14,3,2,16,6,7,3,9,21,4,7,15,7,29,6,5,8,13,8,2,2,3,6,5,2,2,9,4,10,1,6,3,3,5,2,1,7,7,7,8,5,13,1,8,1,3,5,4,1,3,8,1,3,7,8,8,5,1,6,5,6,1,3,4,3,5,2,3,4,4,5,4,8,18,8,4,7,5,28,4,6,5,16,2,12,12,4,20,5,6,5,4,22,9,11,1,3,6,5,8,7,18,7,7,20,6,6,15,20,27,5,7,8,2,32,18,13,36,13,7,9,12,15,7,10,14,8,10,32,26,9,37,14,11,14,12,24,15,18,6,8,14,16,8,11,8,6,16,8,16,6,10,7,10,4,4,55,38,12,15,17,21,20,13,22,7,11,11,5,88,54,15,16,34,9,13,29,47,19,19,25,132,26,36,27,29,23,33,26,26,13,37,33,16,21,40,29,34,32,42,24,20,34,12,14,23,11,19,50,26,21,60,12,22,9,21,29,59,14,41,11,27,30,47,8,83,12,31,15,24,15,17,22,27,34,30,14,11,8,19,14,12,18,15,13,11
星空聯盟_zh.wikipedia.org_all-access_spider,13,6,8,5,10,7,8,4,10,18,3,73,19,12,7,15,12,15,4,12,13,26,17,47,7,4,5,4,12,2,4,6,5,2,7,5,4,4,6,5,6,11,4,5,5,4,2,6,2,7,4,5,3,3,12,4,5,1,6,7,3,3,5,9,7,5,5,5,6,5,4,8,6,6,3,6,10,10,6,7,7,7,11,9,8,8,9,10,7,8,8,6,9,9,6,7,7,8,4,5,10,7,6,8,4,7,6,12,7,7,5,1,7,7,4,10,12,3,9,9,11,9,8,8,4,4,9,7,3,2,8,3,12,7,8,11,2,6,6,10,6,11,19,19,5,3,6,14,8,10,11,8,9,7,9,8,9,5,6,16,11,12,9,6,10,15,5,5,7,10,9,15,9,17,12,9,4,9,13,4,11,6,10,11,11,8,11,10,16,8,5,10,9,13,8,10,9,12,26,7,14,17,12,23,5,15,22,10,12,13,14,20,21,8,10,18,14,7,11,10,9,5,8,4,8,14,5,5,12,10,14,20,13,12,12,7,6,12,12,13,8,14,10,31,18,13,12,10,15,18,14,17,14,4
趙麗穎_zh.wikipedia.org_all-access_spider,87,44,10,25,40,9,48,36,11,42,9,26,15,20,21,48,51,53,27,11,42,51,16,12,8,16,18,8,10,16,9,4,13,29,154,32,10,8,5,7,5,8,13,6,13,9,42,12,9,24,5,3,28,18,43,29,11,18,12,12,10,84,11,11,15,7,19,34,10,7,4,9,28,9,11,14,27,15,33,21,11,46,47,28,14,27,48,15,99,26,19,18,21,32,44,273,27,26,58,10,18,39,16,17,18,82,6,21,15,15,23,37,20,9,36,15,15,9,21,9,14,22,21,20,14,14,8,22,18,19,17,15,12,26,14,8,11,22,25,17,15,12,8,32,20,13,38,15,15,44,20,19,15,39,36,16,22,20,48,20,12,27,24,29,50,19,18,29,21,18,117,19,18,22,17,48,28,18,89,22,33,19,58,19,23,55,34,7,60,22,22,35,30,43,19,49,33,31,16,32,22,31,26,39,23,26,26,32,21,27,28,29,19,21,38,41,47,71,36,40,26,46,25,40,28,14,22,23,34,38,57,24,23,18,21,67,41,12,14,14,19,15,6,34,13,14,14,16,9,17,39,31,12,8
雲林大屠殺_zh.wikipedia.org_all-access_spider,4,10,4,3,2,8,4,9,6,8,5,8,4,8,14,6,13,11,6,1,8,6,6,2,4,3,4,3,3,8,7,4,2,8,3,25,2,4,4,10,2,5,3,3,4,3,10,6,7,7,2,4,28,4,5,3,3,5,6,11,3,3,4,3,5,4,6,7,3,10,3,8,7,3,1,6,5,5,10,7,4,2,3,4,3,3,4,6,7,6,6,3,4,6,7,3,6,6,7,5,7,6,3,5,7,11,9,1,5,4,6,3,5,5,8,6,1,10,3,14,7,4,8,9,4,5,42,5,6,6,8,3,12,9,4,12,10,5,5,4,0,7,10,5,9,6,2,6,6,0,6,6,3,5,3,3,8,5,6,8,7,2,9,5,9,5,3,10,5,8,6,5,3,7,9,2,2,10,6,5,6,7,2,11,9,7,6,3,8,4,8,3,5,7,3,17,9,10,4,6,15,4,7,9,12,3,2,8,10,6,1,8,11,17,11,4,7,7,5,5,4,4,4,5,10,6,6,6,5,2,3,10,7,6,4,8,8,11,12,2,15,4,9,5,4,15,3,40,31,10,13,8,6,7
盜墓筆記_(電視劇)_zh.wikipedia.org_all-access_spider,132,49,11,31,107,197,58,18,13,50,144,45,36,21,8,6,40,9,19,40,5,20,7,5,8,4,14,17,6,6,3,10,7,8,7,4,3,6,8,7,4,4,6,3,5,5,4,16,9,12,6,3,10,5,10,4,7,4,11,6,16,5,7,6,9,30,11,40,8,9,4,5,8,2,9,8,6,12,7,5,9,7,18,8,7,6,5,11,10,5,25,4,7,10,9,6,3,7,7,4,11,4,6,8,7,3,10,20,1,1,8,11,10,6,8,7,19,1,6,3,5,9,5,8,5,5,12,6,9,23,7,4,3,4,6,2,6,12,9,4,4,34,10,6,6,3,4,8,6,10,9,7,1,9,2,3,9,7,7,8,8,10,8,8,10,13,9,8,4,14,21,7,11,1,12,8,7,9,4,5,10,9,10,6,7,7,15,19,8,12,6,6,5,13,5,5,5,21,7,11,7,1,7,53,57,9,5,16,11,10,6,10,15,14,7,5,22,10,31,12,13,7,5,19,4,15,1,11,4,5,9,10,6,7,12,12,15,11,15,12,8,15,4,7,4,6,13,5,7,12,10,6,3,10
張惠妹_zh.wikipedia.org_all-access_spider,101,26,13,21,14,6,15,25,52,9,13,22,20,4,14,15,24,8,29,13,6,16,14,4,18,18,5,11,25,12,6,5,5,6,10,13,20,10,2,14,16,4,7,7,16,6,13,11,6,8,4,7,6,50,6,14,28,6,30,42,12,11,7,14,16,22,12,92,5,15,10,10,7,17,27,12,5,13,4,15,11,14,13,62,13,21,186,14,53,12,21,13,11,16,7,35,28,12,8,3,15,11,3,13,24,23,6,16,32,10,18,37,13,22,20,39,6,32,32,10,15,9,10,35,20,10,15,44,18,21,10,9,8,12,10,13,11,21,8,6,7,14,7,20,9,19,12,12,19,36,27,8,14,14,9,4,11,14,20,7,23,10,9,15,22,29,39,8,8,12,13,27,10,19,11,22,10,10,17,32,8,31,17,26,14,42,51,13,15,15,15,18,72,13,18,19,10,15,12,14,43,25,21,32,12,13,28,24,32,16,113,18,17,12,6,14,16,15,12,5,9,9,9,6,19,4,5,11,10,7,21,16,17,13,9,10,6,12,29,9,13,12,13,22,13,14,20,22,12,27,24,18,23,12
寶詠琴_zh.wikipedia.org_all-access_spider,4,2,4,0,2,4,2,6,4,2,2,0,2,18,7,3,4,1,3,2,7,1,6,3,4,6,3,2,3,5,3,3,4,4,6,4,1,7,4,2,2,1,1,2,0,1,2,7,2,5,2,5,3,0,2,4,1,5,3,2,2,2,4,5,3,1,4,3,4,4,5,8,2,5,4,7,2,16,4,0,6,5,0,4,6,3,6,5,4,5,1,2,2,9,4,5,4,0,4,3,5,2,4,4,4,1,6,0,2,4,1,4,2,2,5,2,4,2,6,0,3,4,4,3,3,12,2,3,4,1,6,0,2,3,17,8,2,2,5,2,7,0,13,9,4,0,69,8,4,7,5,5,0,5,6,2,10,2,6,4,4,1,3,5,4,2,7,4,5,0,3,3,3,2,6,5,5,5,3,4,3,2,3,2,2,3,10,7,6,8,13,9,11,21,7,16,11,6,16,7,3,6,5,3,6,8,8,7,6,11,2,10,7,2,11,9,6,5,4,8,6,4,4,5,6,7,4,1,2,2,5,6,3,6,2,5,12,1,1,2,2,4,10,6,6,4,7,3,5,6,10,6,4,3
真珠美人鱼_zh.wikipedia.org_all-access_spider,3,3,6,2,7,12,4,15,13,6,11,4,5,24,9,9,6,8,36,37,8,11,7,3,5,6,3,6,7,1,22,2,6,4,4,8,6,3,11,11,9,10,28,5,4,4,5,5,8,5,8,3,4,4,3,18,17,0,7,11,4,10,3,8,13,3,5,5,2,14,4,3,5,20,12,26,2,7,6,6,4,4,27,6,6,4,12,9,14,15,6,9,14,5,22,12,4,7,6,3,10,6,15,6,10,11,6,11,5,5,5,5,9,7,11,9,26,5,3,6,45,16,5,19,26,10,4,8,11,18,11,3,2,3,8,7,25,3,5,12,1,11,6,8,4,6,9,7,11,13,6,10,6,11,4,10,11,5,8,7,4,4,9,6,14,5,5,6,6,4,13,4,16,7,3,9,5,11,9,7,9,10,93,10,7,25,22,3,9,44,5,7,10,15,4,5,12,8,9,15,10,11,13,7,8,8,8,4,14,6,4,19,4,14,7,2,9,11,7,5,13,9,12,6,8,8,6,8,12,4,8,8,11,12,9,12,13,14,16,9,8,9,27,16,12,14,7,10,11,8,10,7,7,14
阮小儀_zh.wikipedia.org_all-access_spider,16,19,9,5,12,5,20,23,32,16,10,17,16,11,13,15,4,19,6,18,9,13,11,6,5,8,2,9,3,3,7,4,3,6,9,7,3,5,2,12,7,12,4,5,4,2,6,8,7,7,18,4,6,7,3,19,7,3,5,4,6,2,8,3,4,5,2,8,2,8,5,3,10,5,9,4,6,9,10,7,6,7,8,10,9,9,4,18,6,3,5,7,2,3,16,5,11,8,4,4,9,3,3,12,14,5,4,2,6,4,7,10,4,3,5,11,2,1,2,13,5,2,2,11,5,4,6,7,3,2,4,2,7,4,5,1,11,8,0,2,5,2,4,8,7,15,14,6,8,2,15,5,13,6,5,6,5,6,5,3,8,16,6,2,7,9,8,7,3,5,5,4,6,10,5,4,5,3,26,6,5,2,4,8,8,6,4,9,11,2,5,11,4,3,25,10,12,10,17,7,27,48,4,14,8,16,8,41,8,4,12,20,10,60,9,6,16,11,14,23,41,7,11,9,22,31,29,17,36,10,10,12,11,19,6,12,8,9,8,7,8,6,14,9,8,11,3,13,13,5,12,8,13,4
孔令輝_zh.wikipedia.org_all-access_spider,4,7,6,1,0,1,3,3,11,3,1,1,2,2,2,4,2,1,1,3,2,18,3,4,4,5,2,6,3,0,1,1,4,3,4,3,5,5,3,1,4,1,2,1,4,2,0,6,15,0,1,5,1,2,1,2,0,1,8,3,3,2,1,4,4,5,4,3,1,3,11,7,2,3,3,1,6,3,3,1,4,4,6,2,3,2,0,8,0,0,8,5,2,11,2,6,3,0,0,4,6,5,5,2,4,3,5,0,1,2,2,1,1,1,7,4,10,1,2,3,7,6,0,1,2,5,3,1,4,3,1,1,1,1,2,2,0,1,2,8,8,2,1,4,5,2,2,2,3,2,4,1,3,1,0,3,2,8,8,3,2,1,10,3,5,4,4,5,6,2,8,7,4,4,3,1,5,6,5,3,5,4,7,6,7,9,6,5,4,8,6,7,4,8,3,9,2,5,8,1,8,1,4,2,4,1,11,2,14,8,2,4,2,3,7,3,4,4,2,0,6,2,10,9,9,5,3,3,3,8,5,4,7,5,1,7,4,2,4,2,4,2,6,3,1,5,4,10,4,11,6,6,3,5
沈富雄_zh.wikipedia.org_all-access_spider,4,3,2,3,3,39,4,3,7,8,10,0,14,11,12,3,4,9,4,4,6,7,4,4,1,9,37,53,5,6,1,4,4,11,7,6,2,2,3,11,2,20,2,3,2,1,5,6,5,3,1,5,3,7,4,2,6,2,1,6,4,1,0,8,4,3,6,4,4,6,13,2,1,2,4,3,3,5,3,3,5,5,9,7,4,11,5,7,5,4,2,1,8,7,4,2,5,7,9,7,10,6,3,4,7,10,3,6,6,8,3,12,10,4,5,4,3,5,4,1,3,8,7,4,3,4,11,9,7,2,4,2,5,8,10,6,12,7,54,2,8,13,5,6,7,11,11,9,3,8,8,10,4,3,7,1,9,12,4,5,14,14,8,7,10,2,3,4,12,5,7,12,4,2,17,4,7,9,5,6,7,16,4,5,6,16,2,11,6,17,10,22,15,14,13,10,19,10,15,14,35,11,5,7,6,10,13,7,28,42,21,9,19,3,17,11,14,14,5,8,5,17,6,6,11,10,5,4,7,8,11,5,12,7,6,9,11,9,12,9,13,14,7,11,4,18,6,8,13,7,6,4,8,5
張榕容_zh.wikipedia.org_all-access_spider,18,9,8,7,15,10,13,10,18,2,3,4,7,13,15,11,5,8,2,6,4,6,10,4,3,1,5,4,6,6,3,5,3,1,2,7,6,5,1,5,9,6,4,4,3,4,1,3,2,4,5,9,3,6,2,5,6,1,6,4,4,1,3,8,4,7,4,5,3,5,10,6,19,21,7,6,6,6,4,10,73,6,8,7,5,12,6,8,7,5,4,3,10,8,10,5,6,6,11,28,13,10,2,5,3,7,2,7,15,6,4,15,4,2,3,11,6,8,5,8,5,4,3,7,2,5,8,5,7,7,10,2,4,4,5,3,6,6,4,4,5,11,3,6,8,5,6,4,2,7,11,4,5,9,4,6,7,11,3,6,2,4,7,5,6,10,7,12,8,12,5,6,4,0,8,1,10,13,6,7,10,9,8,4,19,8,6,12,7,5,9,9,16,7,5,10,4,14,6,8,11,9,8,9,9,11,13,7,5,6,8,11,5,10,5,4,11,6,8,5,6,17,5,3,4,6,8,8,8,8,4,8,10,4,6,16,3,4,6,3,6,6,15,11,8,11,7,10,7,9,8,7,8,4
監獄學園_zh.wikipedia.org_all-access_spider,9,0,8,3,22,7,5,9,6,33,122,11,49,43,16,65,23,60,46,53,15,14,14,22,20,103,7,9,17,4,13,7,7,14,41,48,6,5,38,9,6,2,16,4,7,12,1,32,13,16,37,9,7,16,23,4,15,8,10,10,8,4,16,8,6,7,53,19,22,23,8,6,9,8,16,6,40,22,25,27,27,46,18,14,15,32,11,72,25,38,47,43,32,20,24,26,40,18,18,31,13,27,12,13,11,15,13,14,16,7,17,40,11,8,10,18,13,23,16,32,20,20,30,23,38,19,19,13,116,17,29,12,15,16,17,15,5,10,8,16,9,19,4,19,12,8,15,21,15,11,9,22,13,17,8,28,17,13,9,6,17,15,20,18,18,7,8,5,8,15,18,14,13,7,15,9,14,16,16,18,16,35,20,23,17,9,7,13,26,55,18,17,15,15,20,24,20,13,17,14,17,10,7,12,18,25,23,16,21,17,16,14,14,27,30,15,11,40,16,15,218,184,208,12,14,18,10,2,20,107,29,19,13,44,58,25,41,19,14,84,28,18,12,17,9,37,10,24,45,46,91,23,13,24
克蘇魯神話_zh.wikipedia.org_all-access_spider,3,5,4,4,2,2,3,9,4,12,4,3,8,10,1,11,17,7,4,9,6,12,6,3,3,3,7,4,6,2,7,1,3,11,4,6,2,4,5,2,7,7,4,4,3,11,6,4,15,3,2,5,6,4,2,5,1,7,6,2,4,2,6,9,9,9,11,14,9,4,5,7,5,7,8,5,11,14,2,11,7,5,10,12,3,7,9,10,8,9,9,8,5,8,23,4,3,14,11,5,17,21,9,9,4,8,6,6,21,9,10,8,7,9,5,11,11,9,8,6,13,11,3,13,16,9,6,5,5,14,27,3,14,11,13,6,8,6,6,5,26,10,11,12,13,9,5,15,16,13,11,8,9,13,11,6,25,6,13,18,15,6,7,10,7,17,4,5,13,13,5,17,8,7,12,7,17,4,9,10,8,10,2,11,11,6,13,15,12,11,10,7,14,7,10,5,10,6,5,8,16,12,6,5,16,6,16,12,5,10,5,10,12,15,12,8,5,9,7,11,8,2,9,6,7,13,12,5,16,3,8,14,11,18,10,16,13,15,11,6,12,13,11,23,15,9,12,19,11,18,22,8,136,36
寇家瑞_zh.wikipedia.org_all-access_spider,1,4,10,2,13,5,1,3,12,9,13,2,11,13,4,9,2,5,6,3,2,3,8,2,4,4,1,6,4,0,5,2,2,3,5,2,1,3,2,7,10,5,5,1,7,2,3,8,5,3,2,4,0,2,1,3,6,4,4,1,6,4,9,7,3,2,2,2,4,1,1,1,1,12,0,1,13,3,6,2,0,1,4,3,17,5,5,2,3,1,6,0,2,5,3,6,2,4,6,4,0,1,4,3,1,5,9,3,1,4,2,4,2,4,5,3,4,0,2,1,1,6,6,6,3,8,5,2,8,2,6,2,2,2,2,1,0,5,2,3,0,3,4,6,2,5,2,4,2,5,3,3,6,4,3,1,3,1,2,8,4,4,3,6,10,1,4,5,4,2,1,4,2,0,9,3,1,5,7,5,2,1,1,6,6,1,2,5,3,3,5,5,3,5,2,4,11,5,2,2,4,6,5,4,3,7,2,8,4,7,6,10,2,7,6,3,4,6,8,7,8,3,2,3,9,6,1,3,4,2,8,3,9,1,3,2,7,2,6,3,1,5,6,10,6,3,3,4,5,6,6,4,2,4
終結的熾天使_zh.wikipedia.org_all-access_spider,16,35,91,91,34,41,11,6,22,23,23,13,81,28,9,13,16,11,17,16,10,13,8,12,12,13,21,6,9,8,4,5,3,4,10,8,6,10,2,8,15,7,9,7,6,14,12,9,5,1,2,7,3,6,10,2,6,4,11,8,13,6,12,16,10,29,15,14,9,18,4,7,8,12,14,10,4,20,26,19,12,24,23,16,39,9,16,19,26,14,17,18,21,19,23,23,25,10,93,13,24,61,18,25,20,20,65,24,38,79,60,21,27,28,26,68,28,37,25,26,33,22,48,29,24,24,14,12,14,72,27,34,16,18,20,15,20,17,15,15,19,12,11,29,66,7,4,10,11,7,38,17,5,153,119,58,30,48,33,20,32,14,19,22,46,43,11,21,124,29,95,28,19,19,16,19,9,27,39,190,55,54,25,46,40,28,31,28,48,15,23,29,39,50,34,21,15,41,20,23,33,18,25,29,27,53,32,19,29,24,21,21,20,11,17,25,22,14,52,18,22,24,15,24,16,18,29,20,21,12,14,26,23,11,12,12,17,16,16,15,20,13,40,19,130,20,30,21,94,18,37,18,10,7
新兵日記之特戰英雄_zh.wikipedia.org_all-access_spider,5,12,6,20,8,6,14,13,18,14,21,1,4,8,20,12,5,1,0,2,2,9,8,3,4,9,5,3,11,4,5,4,4,8,3,13,4,27,2,3,6,2,6,8,2,4,3,6,12,6,2,19,2,6,6,3,2,0,3,7,6,2,3,9,15,10,6,11,7,5,6,6,11,10,4,0,5,2,5,8,4,5,5,14,3,9,4,9,13,10,7,2,4,4,10,3,3,0,3,4,6,5,3,5,8,4,4,10,6,3,5,6,9,4,10,7,8,4,15,8,10,2,5,4,4,25,19,1,4,4,9,4,2,9,5,1,4,14,29,2,2,9,6,10,5,8,14,17,12,7,15,90,6,4,82,9,5,58,4,7,4,4,54,5,20,7,6,2,6,4,7,22,68,8,6,4,9,49,6,3,60,9,7,46,6,3,4,12,2,11,14,18,17,13,14,122,90,6,9,158,41,112,9,23,11,11,135,60,97,61,45,6,14,108,4,9,5,12,6,6,97,9,9,8,12,7,4,5,9,4,7,9,12,10,9,10,25,9,5,6,8,10,5,12,11,4,7,6,12,7,7,35,10,5
海參崴_zh.wikipedia.org_all-access_spider,11,15,18,14,11,9,44,18,27,21,36,13,8,17,17,14,25,25,52,19,4,12,6,7,3,9,7,6,21,7,9,4,6,6,8,9,6,10,6,12,5,13,7,7,57,11,9,12,10,20,4,11,14,10,4,8,6,6,3,11,13,4,4,12,21,17,9,8,9,1,15,2,12,8,24,5,11,35,20,24,18,13,21,13,26,7,11,6,15,16,31,10,9,11,27,6,13,17,8,15,9,16,18,18,14,13,16,13,11,12,22,15,12,7,11,8,13,25,5,36,12,16,8,14,14,13,11,62,15,29,4,6,9,19,9,13,10,26,4,8,16,17,8,10,9,13,14,15,35,15,22,23,6,16,15,5,11,30,31,17,8,15,11,11,15,45,13,11,23,26,32,13,7,10,11,12,10,10,18,16,7,18,13,5,9,10,15,10,13,21,15,22,21,16,18,11,22,17,26,22,22,12,21,18,10,11,16,15,20,13,26,21,18,12,12,12,11,15,33,7,18,18,15,12,17,14,82,32,7,10,16,11,17,14,17,9,9,11,16,14,25,24,16,17,20,17,20,13,30,19,12,12,10,12
